Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density(P/Km2),Land Area(Km2),Latitude,Longitude
Algeria,2000,0.5195514992412148,0.7027502387515916,-0.7138650984955857,-0.8931552136262324,-0.2700651119639466,-0.2495195125764146,-0.3051631898855872,-0.8338128816422385,-0.5648605603869193,-0.4213963242068139,-0.2521739652459665,-0.7482855453014415,-0.20226267426843073,-0.5882777142292379,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2001,0.5190366460565352,0.7101441980120906,-0.7149295774658959,-0.8931552136262324,-0.2683698785204575,-0.2495195125764146,-0.3050688704168987,-0.8310586022555001,-0.5611044410641524,-0.4417757598168766,-0.25307666017694713,-0.7472245311383865,-0.3567535411231404,-0.5897971503791707,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2002,0.5178953743903353,0.728629096163338,-0.7159053498553469,-0.8887466889194189,-0.26688654925740457,-0.2495195125764146,-0.30511603015124295,-0.832972308309701,-0.5572855672607981,-0.4325123799941208,-0.2506587263395895,-0.7484235587334761,0.14534177615466606,-0.5872323133189957,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2003,0.5163210640904734,0.7360230554238371,-0.716881122244798,-0.8909509512728258,-0.26446478719527733,-0.2495195125764146,-0.3041728354643572,-0.8053995927081575,-0.5515215315509582,-0.4399230838523255,-0.24692543743113937,-0.7328021177510159,0.45432350986408554,-0.5672254144069189,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2004,0.5145087478240179,0.7434170146843361,-0.7178568946342491,-0.8926041480378806,-0.2620430251331501,-0.2495195125764146,-0.30421999519870147,-0.808711622612984,-0.5471814323719745,-0.46215519542693956,-0.2460872236626165,-0.7346896031440994,-0.10570588248423717,-0.5356922037911545,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2005,0.5126518054388259,0.7545079535750844,-0.7189213736045593,-0.8848892298009573,-0.25868283027194844,-0.2495195125764146,-0.3028052031683729,-0.7745445599339059,-0.5409880330901695,-0.47327125121424657,-0.2430567448697938,-0.7145608988230503,0.20327585122518232,-0.5044013184483641,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2006,0.5109494016499982,0.7619019128355834,-0.7270823790436047,-0.8942573448029357,-0.256351884287151,-0.2495195125764146,-0.30436147440173433,-0.8160062752562135,-0.5370024600586106,-0.4362177319232232,-0.2394330726505368,-0.7385425584009478,-0.6078011997620436,-0.48165284848426515,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2007,0.5096210308489487,0.7655988924658327,-0.7281468580139151,-0.8942573448029357,-0.25355172190281633,-0.2495195125764146,-0.30436147440173433,-0.8173816405848762,-0.5297086747538191,-0.4158382963131603,-0.23753741172220913,-0.7388407171825346,-0.27950810769578555,-0.4522973989637667,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2008,0.5465668292687742,0.7729928517263317,-0.7340014923506215,-0.9003190662748041,-0.24931363829409361,-0.2495195125764146,-0.3040785159956686,-0.8130355480328241,-0.5211075044367917,-0.4251016761359161,-0.23431350125442119,-0.7363748114741445,-0.4726216912641727,-0.3917502317552018,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2009,0.5089803981222019,0.776689831356581,-0.7357756239678053,-0.8997680006864526,-0.2517959444077741,-0.2495195125764146,-0.30398419652698005,-0.8095777286368184,-0.5123626832817585,-0.36581604527027867,-0.23146356556150435,-0.7341584693534223,-0.6271125581188823,-0.45648118309478797,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2010,0.5101163807669213,0.7803868109868307,-0.7306306422779724,-0.9025233286282107,-0.241336959501962,-0.2495195125764146,-0.3045972730734558,-0.8265272344820868,-0.5212671145389198,-0.37693210105758573,-0.2301675521994112,-0.7428049925596433,-0.2408853909821081,-0.4193039416923091,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2011,0.5125212327210418,0.78408379061708,-0.7317838278291418,-0.9069318533350242,-0.2339959932511387,-0.2495195125764146,-0.3030410018400943,-0.8013785081147398,-0.513106151013792,-0.36766872123482996,-0.22590554217412628,-0.7321685110819863,-0.3760648994799791,-0.3586463678945192,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2012,0.50232581740902,0.7877807702473298,-0.7329370133803113,-0.9069318533350242,-0.22538360191769866,-0.2495195125764146,-0.30247508502796283,-0.7970504046110257,-0.4971404612793242,-0.32135182212105073,-0.2167883286584351,-0.7331183986803339,-0.27950810769578555,-0.3501508431626531,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2013,0.5219567644001385,0.7877807702473298,-0.7341789055123399,-0.9096871812767826,-0.22140283052807697,-0.2495195125764146,-0.3038427173239472,-0.8190713919500886,-0.4883082832332564,-0.31394111826284604,-0.2141511624163122,-0.7472648439963557,-0.39537625783681785,-0.35591442895275516,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2014,0.5289651310657466,0.791477749877579,-0.7327596002185929,-0.9129935748068926,-0.2151062491665461,-0.2495195125764146,-0.30421999519870147,-0.8258044764611686,-0.47123326749414923,-0.26947689511361794,-0.20852866178675156,-0.7425951374336951,-0.20226267426843073,-0.3563207632895265,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2015,0.5372003027917982,0.791477749877579,-0.7232679960666597,-0.9135446403952444,-0.20858262761169083,-0.2495195125764146,-0.30436147440173433,-0.8286918048251504,-0.46236878677999954,-0.2602135152908621,-0.20302867130244376,-0.7444270176634659,-0.22157403262526937,-0.4381500939791854,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2016,0.5507195375400652,0.7951747295078283,-0.6875192439804064,-0.9124425092185411,-0.2056008330726966,-0.2495195125764146,-0.3037955575896029,-0.8220743962901907,-0.4679766696462411,-0.2972670345818855,-0.20390557533655135,-0.7400889512741665,-0.31813082440946294,-0.45255004499484847,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2017,0.5742920451480836,0.7951747295078283,-0.6507947195047021,-0.9091361156884309,-0.19889557936318175,-0.2495195125764146,-0.3023807655592743,-0.8069709017556272,-0.4702665446734154,-0.28244562686547614,-0.2016939775270363,-0.7311273849733141,-0.6850466331893985,-0.4423929390585067,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2018,0.5794447090429083,0.7951747295078283,-0.6487544681449408,-0.9063807877466725,-0.1981993227703202,-0.2495195125764146,-0.3017205292784543,-0.7996626404963516,-0.45617413031327464,-0.23427605178714564,-0.19705154838776792,-0.7275271286207464,-0.7236693499030759,-0.4403819765236999,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Algeria,2019,0.5630950213933139,0.7988717091380781,-0.6515930787324348,-0.9080339845117276,-0.1913427089319224,-0.2495195125764146,-0.30143757087238854,-0.7991347381311802,-0.4511459319214402,-0.21019126424798046,-0.19336983831351404,-0.7269013323521244,-0.7429807082599146,-0.4498611682583803,18,0.40723028314059306,0.6043953986605602,-0.36844152713064
Argentina,2000,0.25594253663732724,0.625113666516353,1.2972017961630917,-0.37405142939895536,-0.22990926977129897,-0.0396467129712417,-0.1691545160366638,0.759364370717681,-0.4059089787041356,-0.5121774464698211,-0.218503444320389,0.33465356700954296,-1.088460704370247,-0.21850144635757274,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2001,0.23344518792701083,0.6472955442978496,1.283629689291636,-0.28257454173257746,-0.24120073538596734,-0.0203762555784462,-0.13071933254607,1.1301032675281504,-0.41707854289081064,-0.5307042061153329,-0.22302336679622772,0.6581578549629733,-1.7875011223909434,-0.24959425771373486,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2002,0.29276569587158935,0.665780442449097,1.3074917595427578,-0.27651282026070906,-0.24605939552311015,-0.06066903012701864,-0.1353409865118101,1.1571451570842848,-0.43340211126582306,-0.456597167533286,-0.22804621853130286,0.6857672352398659,-3.039967298481032,-0.5367363041226106,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2003,0.3104314408190999,0.6787198711549703,1.2901052696943565,-0.32059806732884294,-0.2354187784626385,-0.003208029901228376,-0.1432638218816503,0.9968251316796084,-0.4150460764759954,-0.4603025194623883,-0.22147588738599575,0.5227549436767356,0.7704583244272905,-0.4896732005999777,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2004,0.3278575269808049,0.7064472183818414,1.3019032449486287,-0.4049111023466491,-0.21934433277526882,0.006602384771467497,-0.1590623328869864,0.7261717154759018,-0.398721250916063,-0.4473337877105302,-0.21262947628864706,0.325951314679454,0.8076389664212388,-0.4319385730637758,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2005,0.34524072248394694,0.7175381572725897,1.2887746709814687,-0.38562380675434044,-0.2154997855016418,-0.02633257877258299,-0.14222630772607597,0.7478460881940113,-0.3817599580295059,-0.5140301224343723,-0.20965703045047734,0.37933833667267414,0.7732814758515609,-0.38016363648573603,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2006,0.36277829130153233,0.7397200350540863,1.2700575824201799,-0.4109728238185175,-0.20688739416820176,0.0009964335299270115,-0.12303229584795121,0.7678224171756638,-0.3676885840558726,-0.5325568820798839,-0.20391202947635145,0.43785993767533843,0.61791997185442,-0.3298179228782033,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2007,0.3806890666972894,0.7471139943145854,1.3058950410872923,-0.491428399717862,-0.19573215266952806,-0.014069560431713134,-0.15835493687182212,0.496170331293971,-0.3559959436379916,-0.5584943455836003,-0.19881180073061713,0.18548439335695743,0.803405448175866,-0.24728753984222304,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2008,0.39919766680219204,0.7582049332053337,1.289839149951779,-0.49528585883632364,-0.19017723593952363,-0.009514725047961473,-0.15788333952837924,0.45853469970379646,-0.35473858410902837,-0.5621996975127027,-0.19596186510217858,0.17113241736749715,-0.1525874679356847,-0.13682100403338168,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2009,0.41852755277376225,0.7692958720960824,1.3522885828766482,-0.44348569353126627,-0.19412773530336874,0.0164127994441634,-0.1417547103826331,0.5811998762894268,-0.3691631921233633,-0.5751684292645608,-0.2028352347400302,0.2903507729427997,-2.0790418786940226,-0.18633145816957958,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2010,0.506899168169879,0.776689831356581,1.3357004522559799,-0.43246438176423285,-0.1872711214649709,-0.015120676289501958,-0.14312234267861745,0.5025385530358505,-0.35949977039258757,-0.5918425129455214,-0.19596830937681262,0.27953689682725424,1.0192576319060513,-0.05188541895477868,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2011,0.5296543566773391,0.78408379061708,1.434874409656553,-0.4302601194108261,-0.17835600987376496,-0.043150432497204544,-0.15245997007878626,0.3798325936549364,-0.3527395378600018,-0.6066639206619308,-0.18989446321610787,0.2147296987888951,0.22335033517841313,0.10135551264474621,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2012,0.540780309205973,0.791477749877579,1.4437450677424721,-0.44238356235456294,-0.1671099522977615,-0.042800060544608234,-0.15953393023042928,0.27811991082751647,-0.3422656509175005,-0.5844318090873167,-0.18904334614570253,0.15159641096141094,-1.1343100239481325,0.11590249103408196,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2013,0.5500934496223876,0.7951747295078283,1.433366397781947,-0.4258515947040127,-0.16757916869729866,-0.048756383738745024,-0.14019843914927163,0.36372753824748477,-0.33077859515583397,-0.5825791331227655,-0.18563245319082292,0.21655643465562688,-0.47159359683712937,0.11575256639919432,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2014,0.6044155017046627,0.7988717091380781,1.413584830250348,-0.37735782292906545,-0.16662559988533604,-0.0652238655107703,-0.1433109816159946,0.33474772227514804,-0.33552066175206896,-0.5659050494418051,-0.18798590389913736,0.22442784136478242,-1.421314440595445,0.0693704736914173,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2015,0.5734573714457937,0.7988717091380781,1.401432028672639,-0.39884938087478067,-0.15905759344118836,-0.016872536052483393,-0.14519737098976607,0.3115141708471334,-0.3326244743754472,-0.5733157533000097,-0.184149452376816,0.21277723150193353,-0.40867023014520193,0.15985425725226704,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2016,0.5919846484077969,0.8025686887683273,1.3824488203687724,-0.399951512051484,-0.15357835677562545,0.0244713543538779,-0.1591094926213307,0.2466215028431707,-0.3382192615654392,-0.5640523734772538,-0.18569048119354936,0.147220691907656,-1.3378338567802384,0.09770808507721027,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2017,0.6044155017046627,0.8025686887683273,1.3788118505535456,-0.3453960188046683,-0.15569739857998677,-0.047354895928359925,-0.14788547584739042,0.26434824187805944,-0.3421067043296356,-0.5807264571582144,-0.18816644211159497,0.21785270788954444,-0.39180308144855075,0.21112214841646204,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Argentina,2018,0.6035543828949745,0.8025686887683273,1.5087669915122581,-0.3371300349793932,-0.157347223984811,-0.021427371436235056,-0.14048139755533737,0.31936916422475803,-0.3480549001693459,-0.5825791331227655,-0.1897268234180844,0.25618405638465946,-1.441549102417453,0.03579429546403233,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
