Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density(P/Km2),Land Area(Km2)
98.96687,97.3,8.79,810000.0,0.43,24.96,0.0,-0.3803742149686281,0.2796644,9961.64,4.07,-0.3182513165396614,-1.0002428977331537,-0.36858868584946874,1740.606654,18,2381741.0
98.95306,97.8,8.68,310000.0,0.51,25.94,0.0,-0.3804134535246521,0.23076923,10180.35,4.12,-0.3162512150838085,-1.0013719067140356,0.2349609172298159,1781.828908,18,2381741.0
98.93401,98.0,8.57,90000.0,0.47,27.54,0.0,-0.3796286824041708,0.93525183,10510.461,4.08,-0.3131630592105813,-0.9866626979887776,0.606376057586299,2103.381291,18,2381741.0
98.91208,98.2,8.46,140000.0,0.44,29.14,0.0,-0.3796679209601949,0.8506295,10759.022,3.96,-0.31246969343156944,-0.9884399614719555,-0.06681388430982642,2610.185422,18,2381741.0
98.88961,98.5,8.34,160000.0,0.58,31.36,0.0,-0.378490764279473,1.7235976,11113.723,3.9,-0.3099628981868824,-0.9694866963052047,0.3046012560466566,3113.094883,18,2381741.0
98.845184,99.1,6.44,2190000.0,0.31,35.91,0.0,-0.3794717281800746,0.8285005,12753.12,4.48,-0.30037308458064504,-0.9879398438581655,-0.6935769336613913,3883.2709,18,2381741.0
98.85893,99.2,7.02,400000.0,0.26,42.82,0.0,-0.37998182940838743,0.3954408,12243.156,4.42,-0.2993010295176496,-0.9960814432618884,-0.22930800821578762,4480.786318,18,2381741.0
98.88803,99.3,6.89,0.0,0.18,47.67,0.0,-0.37868695705959327,1.0379905,12710.541,4.47,-0.2957755184698585,-0.9860660915198267,-0.3918021321217489,5455.679403,18,2381741.0
98.76466,99.4,6.76,940000.0,0.18,53.36,0.0,-0.37821609438730447,1.1485735,13624.909,4.72,-0.2882338100308948,-0.9869605093245168,-0.275734900760348,5592.220115,18,2381741.0
99.002205,99.4,6.62,940000.0,0.13,55.99,0.0,-0.3793540125120024,0.5859375,14130.735,4.76,-0.28605236074609536,-1.000280856474786,-0.41501557839402914,5499.587331,18,2381741.0
